NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Dr. Cornel West,B,,,,,,,,
Brian Moses,B,,,,,,,,
Bernie Sanders,J,,,,,,,,
Annie Lederman,J,,,,,,,,
Fahim Anwar,M,,,,,,,,
,,,,,,,,,
Dan Crenshaw,W,,,,,,,,
Roy Wood Jr.,B,,,,,,,,
John Nores,W,,,,,,,,
John Carmack,W,,,,,,,,
Penn Jillette,J,,,,,,,,
Joseph LeDoux,W,,,,,,,,
Steve Aoki,A,,,,,,,,
Zuby,B,,,,,,,,
Nick Bostrom,W,,,,,,,,
Dan Aykroyd,W,,,,,,,,
Rob Zombie,W,,,,,,,,
,,,,,,,,,
Mark Normand,W,,,,,,,,
,,,,,,,,,
Cmdr. David Fravor,W,,,,,,,,
Dakota Meyer,W,,,,,,,,
Richard Dawkins,W,,,,,,,,
Bridget Phetasy,W,,,,,,,,
Edward Snowden,W,,,,,,,,
Brian Grazer,J,,,,,,,,
Edward Norton,W,,,,,,,,
Rick Baker,W,,,,,,,,
Ben Westhoff,W,,,,,,,,
Pete Dominick,W,,,,,,,,
RZA,B,,,,,,,,
Malcolm Gladwell,X,,,,,,,,
Josh Homme,W,,,,,,,,
Louie Psihoyos,W,,,,,,,,
James Wilks,W,,,,,,,,
Glenn Villeneuve,W,,,,,,,,
Michelle Wolf,W,,,,,,,,
S.C. Gwynne,W,,,,,,,,
Lil Duval,B,,,,,,,,
Pavel Tsatsouline,W,,,,,,,,
,,,,,,,,,
Ash Dykes,W,,,,,,,,
Robert Downey Jr.,J,,,,,,,,
Bill Maher,J,,,,,,,,
Rob Kearney,W,,,,,,,,
Don Gavin,W,,,,,,,,
Daryl Davis,B,,,,,,,,
Andrew Doyle,W,,,,,,,,
Garrett Reisman,J,,,,,,,,
Melissa Chen,A,,,,,,,,
Brian Greene,J,,,,,,,,
Raghunath Cappo,W,,,,,,,,
Trevor Thompson,W,,,,,,,,
Suzanne Santo,W,,,,,,,,
Gary Clark Jr.,B,,,,,,,,
Adam Curry,W,,,,,,,,
Stephen Dubner,J,,,,,,,,
Michael Osterholm,W,,,,,,,,
Fortune Feimster,W,,,,,,,,
Hugo Martin,H,,,,,,,,
Shannon O’Loughlin,W,,,,,,,,
Tom O’Neill,W,,,,,,,,
Jack Carr,W,,,,,,,,
Adam Perry Lang,J,,,,,,,,
Patton Oswalt,W,,,,,,,,
Tony Hawk,W,,,,,,,,
Adam Eget,J,,,,,,,,
Jordan Jonas,W,,,,,,,,
Jesus Trejo,H,,,,,,,,
Krystal,W,,,,,,,,
Saagar,M,,,,,,,,
Ben Jaffe,W,,,,,,,,
Janet Zuccarini,W,,,,,,,,
Evan Funke,W,,,,,,,,
Ronnie Coleman,B,,,,,,,,
Jimmy O. Yang,A,,,,,,,,
Michael Imperioli,W,,,,,,,,
Colion noir,B,,,,,,,,
Jon Stewart,J,,,,,,,,
Aron Snyder,W,,,,,,,,
Barbara Freese,W,,,,,,,,
Alan Levinovitz,J,,,,,,,,
James Nestor,W,,,,,,,,
Bob Saget,J,,,,,,,,
Abigail Shrier,J,,,,,,,,
George Knapp,W,,,,,,,,
Oliver Stone,J,,,,,,,,
Andrew Huberman,W,,,,,,,,
Joe De Sena,W,,,,,,,,
Dr. Bradley Garrett,W,,,,,,,,
Post Malone,W,,,,,,,,
Nancy Panza,W,,,,,,,,
Josh Dubin,W,,,,,,,,
Jason Flom,J,,,,,,,,
Rob Lowe,W,,,,,,,,
Ali Macofsky,W,,,,,,,,
David Blaine,J,,,,,,,,
Miley Cyrus,W,,,,,,,,
Jenny Kleeman,J,,,,,,,,
Frank von Hippel,J,,,,,,,,
Brian Muraresku,W,,,,,,,,
W. Keith Campbell,W,,,,,,,,
Evan Hafer,W,,,,,,,,
Mat Best,W,,,,,,,,
Colin Quinn,W,,,,,,,,
Roy Jones Jr.,B,,,,,,,,
Wesley Hunt,B,,,,,,,,
Paul Saladino,W,,,,,,,,
Matthew McConaughey,W,,,,,,,,
Kanye West,B,,,,,,,,
Alex Jones,W,,,,,,,,
Glenn Greenwald,J,,,,,,,,
Tristan Harris,W,,,,,,,,
Kermit Pattison,W,,,,,,,,
Adam Alter,J,,,,,,,,
Gary Laderman,W,,,,,,,,
Dave Chappelle,B,,,,,,,,
